Data,Produto,Estado,Área Colhida (ha),Produção (t),Rendimento Médio (kg/ha)
42017,1,2,147745.0,1102206.0,7460.0
42017,2,2,49014.0,102711.0,2096.0
42017,5,2,372513.0,3061562.0,8219.0
42017,7,2,651753.0,2328510.0,3573.0
52017,1,2,147745.0,1102206.0,7460.0
52017,2,2,49014.0,102711.0,2096.0
52017,5,2,372513.0,3061562.0,8219.0
52017,7,2,651753.0,2328510.0,3573.0
62017,1,2,147691.0,1134069.0,7679.0
62017,2,2,49233.0,105809.0,2149.0
62017,5,2,369813.0,3108536.0,8406.0
62017,7,2,658932.0,2429932.0,3688.0
72017,1,2,147691.0,1134069.0,7679.0
72017,2,2,49233.0,105809.0,2149.0
72017,5,2,369813.0,3108536.0,8406.0
72017,7,2,658932.0,2429932.0,3688.0
82017,1,2,147691.0,1134069.0,7679.0
82017,2,2,49233.0,105809.0,2149.0
82017,5,2,369813.0,3108536.0,8406.0
82017,7,2,658932.0,2429932.0,3688.0
92017,1,2,147691.0,1134069.0,7679.0
92017,2,2,49233.0,105809.0,2149.0
92017,5,2,369813.0,3108536.0,8406.0
92017,7,2,658932.0,2429932.0,3688.0
102017,1,2,147691.0,1134069.0,7679.0
102017,2,2,49233.0,105809.0,2149.0
102017,5,2,369813.0,3108536.0,8406.0
102017,7,2,658932.0,2429932.0,3688.0
112017,1,2,147691.0,1134069.0,7679.0
112017,2,2,49233.0,105809.0,2149.0
112017,5,2,369813.0,3108536.0,8406.0
112017,7,2,658932.0,2429932.0,3688.0
122017,1,2,147691.0,1134069.0,7679.0
122017,2,2,49233.0,105809.0,2149.0
122017,5,2,369813.0,3108536.0,8406.0
122017,7,2,658932.0,2429932.0,3688.0
12018,1,2,147581.0,1078015.0,7305.0
12018,2,2,50350.0,108144.0,2148.0
12018,5,2,346103.0,2771096.0,8007.0
12018,7,2,676382.0,2384295.0,3525.0
22018,1,2,147581.0,1078015.0,7305.0
22018,2,2,50350.0,108144.0,2148.0
22018,5,2,346103.0,2771096.0,8007.0
22018,7,2,676382.0,2384295.0,3525.0
32018,1,2,147581.0,1078015.0,7305.0
32018,2,2,50350.0,108144.0,2148.0
32018,5,2,346103.0,2771096.0,8007.0
32018,7,2,676382.0,2384295.0,3525.0
42018,1,2,146080.0,1073549.0,7349.0
42018,2,2,51893.0,98299.0,1894.0
42018,5,2,325107.0,2564439.0,7888.0
42018,7,2,676382.0,2384295.0,3525.0
52018,1,2,146080.0,1073549.0,7349.0
52018,2,2,51893.0,98299.0,1894.0
52018,5,2,325107.0,2564439.0,7888.0
52018,7,2,676382.0,2384295.0,3525.0
62018,1,2,146080.0,1073549.0,7349.0
62018,2,2,51893.0,98299.0,1894.0
62018,5,2,325107.0,2564439.0,7888.0
62018,7,2,676382.0,2384295.0,3525.0
72018,1,2,146080.0,1073549.0,7349.0
72018,2,2,51893.0,98299.0,1894.0
72018,5,2,325107.0,2564439.0,7888.0
72018,7,2,676382.0,2384295.0,3525.0
82018,1,2,146080.0,1073549.0,7349.0
82018,2,2,51893.0,98299.0,1894.0
82018,5,2,325107.0,2564439.0,7888.0
82018,7,2,676382.0,2384295.0,3525.0
