Data,Produto,Estado,Área Colhida (ha),Produção (t),Rendimento Médio (kg/ha)
062018,7,1,5552520.0,19266672.0,3470.0
062018,8,1,1062547.0,3357826.0,3160.0
062018,9,1,77800.0,190254.0,2445.0
072018,1,1,23138.0,131317.0,5675.0
072018,2,1,195889.0,307975.0,1572.0
072018,3,1,199795.0,275084.0,1377.0
072018,4,1,3054.0,3559.0,1165.0
072018,5,1,330201.0,2887598.0,8745.0
072018,6,1,2108910.0,9299243.0,4410.0
072018,7,1,5552520.0,19266672.0,3470.0
072018,8,1,1080647.0,3121120.0,2888.0
072018,9,1,77800.0,190254.0,2445.0
082018,1,1,23138.0,131317.0,5675.0
082018,2,1,195889.0,307975.0,1572.0
082018,3,1,199795.0,275084.0,1377.0
082018,4,1,3054.0,3559.0,1165.0
082018,5,1,330201.0,2887598.0,8745.0
082018,6,1,2108910.0,9299243.0,4410.0
082018,7,1,5552520.0,19266672.0,3470.0
082018,8,1,1080647.0,3121120.0,2888.0
082018,9,1,77800.0,190254.0,2445.0
092018,1,1,23138.0,131317.0,5675.0
092018,2,1,195889.0,307975.0,1572.0
092018,3,1,199795.0,275084.0,1377.0
092018,4,1,2245.0,2041.0,909.0
092018,5,1,330201.0,2887598.0,8745.0
092018,6,1,2110634.0,9119942.0,4321.0
092018,7,1,5552520.0,19266672.0,3470.0
092018,8,1,1096167.0,2992467.0,2730.0
092018,9,1,77800.0,190254.0,2445.0
102018,1,1,23138.0,131317.0,5675.0
102018,2,1,195889.0,307975.0,1572.0
102018,3,1,199795.0,275084.0,1377.0
102018,4,1,2245.0,2041.0,909.0
102018,5,1,330201.0,2887598.0,8745.0
102018,6,1,2110879.0,8976029.0,4252.0
102018,7,1,5552520.0,19266672.0,3470.0
102018,8,1,1096934.0,2959274.0,2698.0
102018,9,1,77800.0,190254.0,2445.0
112018,1,1,23138.0,131317.0,5675.0
112018,2,1,195889.0,307975.0,1572.0
112018,3,1,199795.0,275084.0,1377.0
112018,4,1,2245.0,2041.0,909.0
112018,5,1,330201.0,2887598.0,8745.0
112018,6,1,2110879.0,8976029.0,4252.0
112018,7,1,5552520.0,19266672.0,3470.0
112018,8,1,1097834.0,2821145.0,2570.0
112018,9,1,77800.0,190254.0,2445.0
122018,1,1,23138.0,131317.0,5675.0
122018,2,1,195889.0,307975.0,1572.0
122018,3,1,199795.0,275084.0,1377.0
122018,4,1,2245.0,2041.0,909.0
122018,5,1,330201.0,2887598.0,8745.0
122018,6,1,2110879.0,8976029.0,4252.0
122018,7,1,5552520.0,19266672.0,3470.0
122018,8,1,1097834.0,2821145.0,2570.0
122018,9,1,77800.0,190254.0,2445.0
012019,1,1,23105.0,161518.0,6991.0
012019,2,1,162306.0,260375.0,1604.0
012019,3,1,176654.0,339704.0,1923.0
012019,4,1,3054.0,2999.0,982.0
012019,5,1,356022.0,3100000.0,8707.0
012019,6,1,2192385.0,12687615.0,5787.0
012019,7,1,5532698.0,17052153.0,3082.0
012019,8,1,1080647.0,2920989.0,2703.0
012019,9,1,77981.0,190259.0,2440.0
022019,1,1,23105.0,160030.0,6926.0
022019,2,1,162306.0,248322.0,1530.0
022019,3,1,208194.0,399902.0,1921.0
022019,4,1,3054.0,2999.0,982.0
022019,5,1,356022.0,3096110.0,8696.0
022019,6,1,2203985.0,12766275.0,5792.0
022019,7,1,5537221.0,16548648.0,2989.0
022019,8,1,1080647.0,2920989.0,2703.0
022019,9,1,78481.0,186302.0,2374.0
032019,1,1,23105.0,160030.0,6926.0
032019,2,1,162306.0,248322.0,1530.0
032019,3,1,228374.0,436146.0,1910.0
032019,4,1,3054.0,2999.0,982.0
032019,5,1,356022.0,3096110.0,8696.0
032019,6,1,2227870.0,13000554.0,5835.0
032019,7,1,5543887.0,16329725.0,2946.0
032019,8,1,1080647.0,2920989.0,2703.0
032019,9,1,78481.0,186302.0,2374.0
042019,1,1,23215.0,158790.0,6840.0
042019,2,1,162306.0,248322.0,1530.0
042019,3,1,228374.0,436146.0,1910.0
042019,4,1,3054.0,2999.0,982.0
042019,5,1,358479.0,3156605.0,8806.0
042019,6,1,2233696.0,13026622.0,5832.0
042019,7,1,5437439.0,16254411.0,2989.0
042019,8,1,1022758.0,3293555.0,3220.0
042019,9,1,79426.0,189223.0,2382.0
052019,1,1,23378.0,142463.0,6094.0
052019,2,1,162322.0,247089.0,1522.0
052019,3,1,230577.0,408713.0,1773.0
052019,4,1,2629.0,3168.0,1205.0
052019,5,1,358779.0,3166720.0,8826.0
052019,6,1,2247739.0,12964822.0,5768.0
052019,7,1,5439039.0,16231264.0,2984.0
052019,8,1,1003958.0,3226305.0,3214.0
052019,9,1,75354.0,168891.0,2241.0
062019,1,1,23378.0,142250.0,6085.0
062019,2,1,162327.0,247092.0,1522.0
062019,3,1,230577.0,361839.0,1569.0
062019,4,1,2534.0,3091.0,1220.0
062019,5,1,359879.0,3173825.0,8819.0
062019,6,1,2247039.0,13463985.0,5992.0
062019,7,1,5441991.0,16220624.0,2981.0
062019,8,1,1006650.0,3235893.0,3215.0
062019,9,1,75336.0,168831.0,2241.0
072019,1,1,23378.0,142278.0,6086.0
072019,2,1,162327.0,247092.0,1522.0
072019,3,1,230577.0,352138.0,1527.0
072019,4,1,2534.0,3020.0,1192.0
072019,5,1,359879.0,3139800.0,8725.0
072019,6,1,2247439.0,13661756.0,6079.0
072019,7,1,5437391.0,16209573.0,2981.0
072019,8,1,1008395.0,2724950.0,2702.0
072019,9,1,75336.0,168974.0,2243.0
082019,1,1,23378.0,142278.0,6086.0
082019,2,1,162327.0,247092.0,1522.0
082019,3,1,230677.0,344878.0,1495.0
