Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha)
maio 2017,1.8 Feijao (1 Safra),Parana,194051,,364687,1879
maio 2017,1.9 Feijao (2 Safra),Parana,237224,,412023,1737
maio 2017,1.10 Feijao (3 Safra),Parana,4265,,4394,1030
maio 2017,1.13 Milho (1 Safra),Parana,503606,,4765912,9464
maio 2017,1.14 Milho (2 Safra),Parana,2391542,,13827073,5782
maio 2017,1.15 Soja,Parana,5252733,,19536332,3719
maio 2017,1.17 Trigo,Parana,992470,,3119737,3143
maio 2017,15 Fumo,Parana,77514,,182897,2360
junho 2017,1.4 Arroz,Parana,25111,,163078,6494
junho 2017,1.8 Feijao (1 Safra),Parana,194051,,364687,1879
junho 2017,1.9 Feijao (2 Safra),Parana,237324,,355078,1496
junho 2017,1.10 Feijao (3 Safra),Parana,4595,,4798,1044
junho 2017,1.13 Milho (1 Safra),Parana,503606,,4765912,9464
junho 2017,1.14 Milho (2 Safra),Parana,2395682,,13864664,5787
junho 2017,1.15 Soja,Parana,5253033,,19618069,3735
junho 2017,1.17 Trigo,Parana,977320,,3068680,3140
junho 2017,15 Fumo,Parana,77514,,182897,2360
julho 2017,1.4 Arroz,Parana,25111,,163078,6494
julho 2017,1.8 Feijao (1 Safra),Parana,193434,,367848,1902
julho 2017,1.9 Feijao (2 Safra),Parana,246593,,338639,1373
julho 2017,1.10 Feijao (3 Safra),Parana,4444,,4532,1020
julho 2017,1.13 Milho (1 Safra),Parana,512533,,4889083,9539
julho 2017,1.14 Milho (2 Safra),Parana,2416021,,13714555,5677
julho 2017,1.15 Soja,Parana,5259903,,19647675,3735
julho 2017,1.17 Trigo,Parana,955835,,2820707,2951
julho 2017,15 Fumo,Parana,77622,,184469,2377
agosto 2017,1.4 Arroz,Parana,25111,,163078,6494
agosto 2017,1.8 Feijao (1 Safra),Parana,193434,,367848,1902
agosto 2017,1.9 Feijao (2 Safra),Parana,246593,,338639,1373
agosto 2017,1.10 Feijao (3 Safra),Parana,4444,,4532,1020
agosto 2017,1.13 Milho (1 Safra),Parana,512533,,4889083,9539
agosto 2017,1.14 Milho (2 Safra),Parana,2410325,,13621499,5651
agosto 2017,1.15 Soja,Parana,5259903,,19647675,3735
agosto 2017,1.17 Trigo,Parana,962535,,2593275,2694
agosto 2017,15 Fumo,Parana,77622,,184469,2377
setembro 2017,1.4 Arroz,Parana,24989,,165347,6617
setembro 2017,1.8 Feijao (1 Safra),Parana,194108,,368207,1897
setembro 2017,1.9 Feijao (2 Safra),Parana,249085,,341784,1372
setembro 2017,1.10 Feijao (3 Safra),Parana,4432,,4370,986
setembro 2017,1.13 Milho (1 Safra),Parana,513627,,4931876,9602
setembro 2017,1.14 Milho (2 Safra),Parana,2412836,,13412478,5559
setembro 2017,1.15 Soja,Parana,5271629,,19817679,3759
setembro 2017,1.17 Trigo,Parana,962004,,2294385,2385
setembro 2017,15 Fumo,Parana,75038,,188117,2507
outubro 2017,1.4 Arroz,Parana,24989,,165347,6617
outubro 2017,1.8 Feijao (1 Safra),Parana,194108,,368207,1897
outubro 2017,1.9 Feijao (2 Safra),Parana,249085,,342152,1374
outubro 2017,1.10 Feijao (3 Safra),Parana,4432,,4370,986
outubro 2017,1.13 Milho (1 Safra),Parana,513627,,4931876,9602
