Data,Estado,Temperatura Media,Precipitacao Total,Pressao Atmosferica Media,Vento Velocidade Media
092016,3,13.7,68.0,904.5,2.6
042017,3,18.3,183.7,951.0,2.7
082017,3,14.8,116.7,834.5,2.6
122017,3,23.0,100.8,947.5,2.9
022017,3,20.8,108.3,830.0,2.1
012017,3,20.5,142.0,853.6,2.3
072017,3,12.6,27.8,792.2,2.1
062017,3,13.2,99.7,860.8,2.0
052017,3,15.8,255.6,904.1,2.5
032017,3,18.4,137.3,832.2,2.3
112017,3,19.1,124.5,949.0,2.9
102017,3,17.5,203.7,925.8,3.0
092017,3,17.8,104.7,904.5,2.8
042018,3,21.0,84.3,954.1,2.3
082018,3,12.0,112.9,886.6,2.3
122018,3,21.7,124.1,971.8,2.7
022018,3,21.7,72.6,948.2,2.5
012018,3,21.9,158.8,901.3,2.7
072018,3,12.6,124.1,908.6,2.2
062018,3,12.1,116.5,954.2,2.3
052018,3,16.5,100.9,954.4,2.5
032018,3,21.4,138.0,949.3,2.3
112018,3,20.3,161.8,926.8,2.7
102018,3,17.5,146.7,928.1,2.7
092018,3,16.7,178.0,928.6,2.7
042019,3,17.6,131.3,837.4,1.7
082019,3,13.8,69.4,958.2,2.5
122019,3,23.0,67.1,971.9,2.6
022019,3,21.4,102.0,925.4,2.3
012019,3,23.1,221.6,925.3,2.6
072019,3,12.3,124.4,955.8,2.2
062019,3,16.0,42.8,929.6,2.2
052019,3,15.3,181.8,863.7,1.9
032019,3,19.4,118.2,885.8,2.1
112019,3,20.3,122.9,927.8,2.9
102019,3,18.9,233.9,929.5,2.9
092019,3,15.6,85.1,932.5,2.6
042020,3,17.6,48.9,890.1,2.4
082020,3,14.0,75.2,911.2,2.1
122020,3,19.3,92.0,837.5,1.9
022020,3,22.2,63.2,932.6,2.7
012020,3,23.4,131.2,971.7,2.8
072020,3,11.1,141.8,802.0,1.8
062020,3,14.6,140.9,821.9,2.0
052020,3,13.8,135.2,887.9,2.3
032020,3,21.8,31.4,933.8,2.5
112020,3,16.6,63.6,771.9,1.9
102020,3,15.3,53.7,796.1,2.0
092020,3,14.3,104.5,865.4,2.1
042021,3,17.2,41.6,845.0,1.8
082021,3,12.6,61.4,754.0,1.6
122021,3,20.4,38.8,861.4,2.2
022021,3,21.0,85.2,903.9,1.7
012021,3,21.5,128.3,904.8,2.1
072021,3,10.1,31.7,755.9,1.4
062021,3,11.0,101.5,822.4,1.6
052021,3,12.1,116.5,800.5,1.4
032021,3,19.6,108.8,905.1,1.8
112021,3,17.0,46.6,748.4,1.8
102021,3,15.3,77.2,754.4,1.8
092021,3,14.3,113.9,709.9,1.7
042022,3,15.3,136.5,800.6,1.5
082022,3,12.3,82.1,846.5,2.0
122022,3,22.0,72.0,930.4,2.5
022022,3,19.9,70.2,818.7,1.7
012022,3,22.4,78.3,861.6,2.1
072022,3,13.5,90.0,843.1,2.1
062022,3,9.2,109.2,752.2,1.4
052022,3,11.3,111.7,735.4,1.4
032022,3,17.1,141.1,799.1,1.7
112022,3,19.4,61.5,929.5,2.4
102022,3,16.5,111.6,930.8,2.4
092022,3,13.2,55.3,867.9,2.1
042023,3,17.8,53.2,933.3,1.9
082023,3,15.3,96.8,957.1,2.2
122023,3,22.3,166.0,909.2,2.6
022023,3,22.2,83.1,909.1,2.1
012023,3,23.4,67.3,930.8,2.2
072023,3,12.9,129.6,869.1,1.9
062023,3,13.4,101.7,825.5,1.5
052023,3,15.6,129.1,850.5,1.4
032023,3,23.2,109.7,931.8,2.0
112023,3,19.7,263.5,930.0,2.6
102023,3,17.7,247.7,953.8,2.6
092023,3,17.1,352.7,933.0,2.7
042024,3,19.1,259.0,886.6,2.3
082024,3,13.9,111.9,888.6,2.3
122024,3,18.3,120.5,839.9,2.1
022024,3,23.7,98.0,908.0,2.3
012024,3,21.7,127.6,929.9,2.6
072024,3,12.0,61.4,936.8,1.9
062024,3,15.5,155.7,909.8,2.3
052024,3,14.0,329.4,888.2,2.2
032024,3,21.5,147.9,910.6,2.2
112024,3,20.0,95.4,883.7,2.4
102024,3,17.8,135.8,885.3,2.4
092024,3,16.4,142.2,885.5,2.4
042014,2,18.8,112.8,949.0,2.2
082014,2,14.8,76.8,902.5,1.7
122014,2,21.3,217.9,887.2,1.8
022014,2,23.0,130.1,946.5,2.6
012014,2,22.9,201.1,946.3,2.4
072014,2,13.1,54.4,893.2,2.1
062014,2,12.3,204.3,787.9,1.6
052014,2,14.9,108.5,787.5,1.4
032014,2,20.6,167.1,946.9,2.3
112014,2,19.5,126.2,893.5,1.6
102014,2,19.0,103.7,948.7,1.8
092014,2,16.7,189.7,899.8,1.9
042015,2,16.3,65.8,838.7,1.8
082015,2,17.8,35.5,896.3,2.5
122015,2,20.4,211.4,887.1,2.1
022015,2,20.5,168.6,892.5,1.9
012015,2,21.1,213.1,888.6,2.0
072015,2,13.0,177.0,848.3,2.0
062015,2,13.5,94.4,898.0,2.0
052015,2,15.2,111.4,896.6,2.0
032015,2,19.7,122.6,893.7,1.9
112015,2,18.1,166.3,836.6,2.1
102015,2,18.1,236.1,892.1,2.6
092015,2,16.0,192.6,892.2,2.4
042016,2,17.0,115.7,785.3,2.0
082016,2,14.4,138.7,945.9,2.3
122016,2,18.5,193.5,789.5,1.7
022016,2,21.2,182.1,888.0,1.7
012016,2,21.1,104.8,887.3,1.9
072016,2,13.4,90.6,946.7,2.6
062016,2,10.2,36.8,895.7,1.9
052016,2,11.9,89.7,796.3,1.8
032016,2,20.3,212.8,945.7,2.2
112016,2,18.0,97.1,894.0,2.4
102016,2,17.2,184.5,846.8,2.5
092016,2,15.3,77.1,946.3,2.4
042017,2,16.8,97.8,891.8,1.9
082017,2,14.6,110.2,839.9,2.3
122017,2,21.2,177.3,941.0,2.5
022017,2,20.1,129.6,836.1,1.7
012017,2,22.4,173.3,889.3,1.8
072017,2,12.7,10.0,742.7,1.8
062017,2,12.0,104.4,792.3,1.7
052017,2,15.7,227.8,841.3,1.4
032017,2,19.4,131.6,890.7,1.7
112017,2,18.7,136.0,941.5,2.6
