Data,Produto,Estado,Área Colhida (ha),Produção (t),Rendimento Médio (kg/ha),Temperatura Media,Precipitacao Total,Pressao Atmosferica Media,Vento Velocidade Media
022021,8,1,1123300.0,3120200.0,2778.0,10.07,18.53,429.76,0.78
022021,9,1,65200.0,147800.0,2267.0,10.07,18.53,429.76,0.78
032021,1,1,21100.0,148600.0,7043.0,8.57,42.92,359.28,0.62
032021,2,1,152300.0,255400.0,1677.0,8.57,42.92,359.28,0.62
032021,3,1,251200.0,491200.0,1955.0,8.57,42.92,359.28,0.62
032021,4,1,2000.0,2200.0,1100.0,8.57,42.92,359.28,0.62
032021,5,1,362700.0,3072800.0,8472.0,8.57,42.92,359.28,0.62
032021,6,1,2387400.0,13382700.0,5606.0,8.57,42.92,359.28,0.62
032021,7,1,5620500.0,20196400.0,3593.0,8.57,42.92,359.28,0.62
032021,8,1,1142000.0,3734900.0,3270.0,8.57,42.92,359.28,0.62
032021,9,1,65200.0,147300.0,2259.0,8.57,42.92,359.28,0.62
042021,1,1,21100.0,151100.0,7161.0,7.95,8.05,395.54,0.71
042021,2,1,152600.0,256900.0,1683.0,7.95,8.05,395.54,0.71
042021,3,1,252100.0,394100.0,1563.0,7.95,8.05,395.54,0.71
042021,4,1,1900.0,2100.0,1105.0,7.95,8.05,395.54,0.71
042021,5,1,372000.0,3120100.0,8387.0,7.95,8.05,395.54,0.71
042021,6,1,2494100.0,12230000.0,4904.0,7.95,8.05,395.54,0.71
042021,7,1,5622500.0,19890100.0,3538.0,7.95,8.05,395.54,0.71
042021,8,1,1158100.0,3799800.0,3281.0,7.95,8.05,395.54,0.71
042021,9,1,65300.0,147500.0,2259.0,7.95,8.05,395.54,0.71
052021,1,1,21100.0,155200.0,7355.0,6.15,27.69,395.63,0.65
052021,2,1,152600.0,256400.0,1680.0,6.15,27.69,395.63,0.65
052021,3,1,254300.0,309500.0,1217.0,6.15,27.69,395.63,0.65
052021,4,1,1900.0,2100.0,1105.0,6.15,27.69,395.63,0.65
052021,5,1,372000.0,3116700.0,8378.0,6.15,27.69,395.63,0.65
052021,6,1,2494100.0,10298000.0,4129.0,6.15,27.69,395.63,0.65
052021,7,1,5623600.0,19887300.0,3536.0,6.15,27.69,395.63,0.65
052021,8,1,1169700.0,3820600.0,3266.0,6.15,27.69,395.63,0.65
052021,9,1,65200.0,147400.0,2261.0,6.15,27.69,395.63,0.65
062021,1,1,21100.0,155200.0,7355.0,5.05,27.85,322.82,0.57
062021,2,1,152300.0,256500.0,1684.0,5.05,27.85,322.82,0.57
062021,3,1,254300.0,270600.0,1064.0,5.05,27.85,322.82,0.57
062021,4,1,1600.0,2000.0,1250.0,5.05,27.85,322.82,0.57
062021,5,1,372000.0,3103900.0,8344.0,5.05,27.85,322.82,0.57
062021,6,1,2519400.0,9821100.0,3898.0,5.05,27.85,322.82,0.57
062021,7,1,5629600.0,19873500.0,3530.0,5.05,27.85,322.82,0.57
062021,8,1,1183300.0,3870900.0,3271.0,5.05,27.85,322.82,0.57
062021,9,1,65200.0,146700.0,2250.0,5.05,27.85,322.82,0.57
072021,1,1,21100.0,155200.0,7355.0,4.04,10.96,288.21,0.56
072021,2,1,152600.0,257000.0,1684.0,4.04,10.96,288.21,0.56
072021,3,1,271200.0,282300.0,1041.0,4.04,10.96,288.21,0.56
072021,4,1,1600.0,1200.0,750.0,4.04,10.96,288.21,0.56
072021,5,1,370600.0,3803700.0,10264.0,4.04,10.96,288.21,0.56
072021,6,1,2505800.0,6110100.0,2438.0,4.04,10.96,288.21,0.56
072021,7,1,5634900.0,19894400.0,3531.0,4.04,10.96,288.21,0.56
072021,8,1,1192800.0,3887600.0,3259.0,4.04,10.96,288.21,0.56
072021,9,1,65200.0,146700.0,2250.0,4.04,10.96,288.21,0.56
082021,1,1,21100.0,155800.0,7384.0,5.88,20.53,323.03,0.68
082021,2,1,152600.0,257000.0,1684.0,5.88,20.53,323.03,0.68
082021,3,1,272300.0,286000.0,1050.0,5.88,20.53,323.03,0.68
082021,4,1,1600.0,1100.0,688.0,5.88,20.53,323.03,0.68
082021,5,1,372500.0,3115200.0,8363.0,5.88,20.53,323.03,0.68
082021,6,1,2518100.0,5923700.0,2352.0,5.88,20.53,323.03,0.68
082021,7,1,5629100.0,19854400.0,3527.0,5.88,20.53,323.03,0.68
082021,8,1,1213000.0,3721400.0,3068.0,5.88,20.53,323.03,0.68
082021,9,1,65300.0,146700.0,2247.0,5.88,20.53,323.03,0.68
092021,1,1,21100.0,156000.0,7393.0,6.75,20.9,322.0,0.73
092021,2,1,152600.0,257000.0,1684.0,6.75,20.9,322.0,0.73
092021,3,1,272300.0,286000.0,1050.0,6.75,20.9,322.0,0.73
092021,4,1,1600.0,1200.0,750.0,6.75,20.9,322.0,0.73
092021,5,1,372500.0,3115200.0,8363.0,6.75,20.9,322.0,0.73
092021,6,1,2518100.0,5526500.0,2195.0,6.75,20.9,322.0,0.73
092021,7,1,5629100.0,19853900.0,3527.0,6.75,20.9,322.0,0.73
092021,8,1,1210000.0,3528400.0,2916.0,6.75,20.9,322.0,0.73
092021,9,1,65300.0,146700.0,2247.0,6.75,20.9,322.0,0.73
102021,1,1,21100.0,156000.0,7393.0,7.08,71.12,319.62,0.86
