Data Medicao,TemperaturaMedia C?,CodEstacao,Nome,"PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)",n
janeiro 2021,,B803,Parana,,,,11721.0
fevereiro 2021,,B803,Parana,,,,11722.0
marco 2021,,B803,Parana,,,,11723.0
abril 2021,,B803,Parana,,,,11724.0
maio 2021,,B803,Parana,,,,11725.0
junho 2021,,B803,Parana,,,,11726.0
julho 2021,,B803,Parana,,,,11727.0
agosto 2021,,B803,Parana,,,,11728.0
setembro 2021,,B803,Parana,,,,11729.0
outubro 2021,,B803,Parana,,,,11730.0
novembro 2021,24.3,B803,Parana,28,943,"2,9",11731.0
dezembro 2021,25.7,B803,Parana,"51,8",942,"2,9",11732.0
janeiro 2022,24.8,B803,Parana,157,"942,8","3,1",11733.0
fevereiro 2022,25.6,B803,Parana,"94,4","943,5",3,11734.0
marco 2022,23.5,B803,Parana,"254,4","944,5",3,11735.0
abril 2022,21.0,B803,Parana,,"946,1","2,8",11736.0
maio 2022,,B803,Parana,,,,11737.0
junho 2022,,B803,Parana,,,,11738.0
julho 2022,,B803,Parana,,,,11739.0
agosto 2022,,B803,Parana,,,,11740.0
setembro 2022,,B803,Parana,,,,11741.0
outubro 2022,,B803,Parana,,,,11742.0
novembro 2022,,B803,Parana,,,,11743.0
dezembro 2022,,B803,Parana,,,,11744.0
janeiro 2023,,B803,Parana,,,,11745.0
fevereiro 2023,,B803,Parana,,,,11746.0
marco 2023,,B803,Parana,,,,11747.0
abril 2023,,B803,Parana,,,,11748.0
maio 2023,19.1,B803,Parana,"37,4","948,5","2,4",11749.0
junho 2023,16.6,B803,Parana,"76,6","949,9","2,5",11750.0
julho 2023,18.0,B803,Parana,"105,2","949,5","2,7",11751.0
agosto 2023,20.2,B803,Parana,"116,6","946,8","3,2",11752.0
setembro 2023,23.3,B803,Parana,"117,8",945,"4,1",11753.0
outubro 2023,23.3,B803,Parana,"391,6","942,9",4,11754.0
novembro 2023,23.5,B803,Parana,"247,6","942,8","3,7",11755.0
dezembro 2023,24.6,B803,Parana,"106,8","943,7","2,9",11756.0
janeiro 2024,24.9,B803,Parana,"273,4","943,6","3,3",11757.0
fevereiro 2024,25.3,B803,Parana,"184,6",945,"3,1",11758.0
marco 2024,25.1,B803,Parana,104,"945,1","2,6",11759.0
abril 2024,23.4,B803,Parana,"95,6","945,5","2,8",11760.0
maio 2024,20.5,B803,Parana,57,947,"2,9",11761.0
junho 2024,21.2,B803,Parana,"2,2","947,8","3,7",11762.0
julho 2024,17.8,B803,Parana,"117,2","950,8","3,2",11763.0
agosto 2024,19.9,B803,Parana,"26,6",949,4,11764.0
setembro 2024,24.3,B803,Parana,"121,8","945,6",,11765.0
outubro 2024,23.8,B803,Parana,"150,4","944,4",,11766.0
novembro 2024,24.2,B803,Parana,"70,4",943,,11767.0
dezembro 2024,23.0,B803,Parana,413,"942,5",,11768.0
janeiro 2014,23.5,A899,Rio Grande do Sul,"206,2","1010,2","5,1",
fevereiro 2014,23.2,A899,Rio Grande do Sul,"223,4",1012,"5,4",
marco 2014,20.5,A899,Rio Grande do Sul,89,"1012,6","5,2",
abril 2014,18.6,A899,Rio Grande do Sul,"67,8","1015,9",5,
maio 2014,14.8,A899,Rio Grande do Sul,"61,2","1015,8","3,7",
junho 2014,13.0,A899,Rio Grande do Sul,"112,8",1017,"5,6",
