Unnamed: 0,Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha)
288,setembro 2016,1.4 Arroz,Parana,26254,,141771,5400
289,setembro 2016,1.8 Feijao (1 Safra),Parana,180149,,284549,1580
290,setembro 2016,1.9 Feijao (2 Safra),Parana,207425,,312336,1506
291,setembro 2016,1.10 Feijao (3 Safra),Parana,5199,,6017,1157
292,setembro 2016,1.13 Milho (1 Safra),Parana,423695,,3406860,8041
293,setembro 2016,1.14 Milho (2 Safra),Parana,2198799,,10517283,4783
294,setembro 2016,1.15 Soja,Parana,5444891,,16969660,3117
295,setembro 2016,1.17 Trigo,Parana,1083534,,3245016,2995
296,setembro 2016,15 Fumo,Parana,73715,,148992,2021
297,outubro 2016,1.4 Arroz,Parana,26254,,141771,5400
298,outubro 2016,1.8 Feijao (1 Safra),Parana,180149,,284549,1580
299,outubro 2016,1.9 Feijao (2 Safra),Parana,207425,,312336,1506
300,outubro 2016,1.10 Feijao (3 Safra),Parana,5199,,6017,1157
301,outubro 2016,1.13 Milho (1 Safra),Parana,423695,,3406860,8041
302,outubro 2016,1.14 Milho (2 Safra),Parana,2198799,,10517283,4783
303,outubro 2016,1.15 Soja,Parana,5444891,,16969660,3117
304,outubro 2016,1.17 Trigo,Parana,1084194,,3270518,3017
305,outubro 2016,15 Fumo,Parana,73715,,148992,2021
306,novembro 2016,1.4 Arroz,Parana,26254,,141771,5400
307,novembro 2016,1.8 Feijao (1 Safra),Parana,180149,,284549,1580
308,novembro 2016,1.9 Feijao (2 Safra),Parana,207425,,312336,1506
309,novembro 2016,1.10 Feijao (3 Safra),Parana,5199,,6017,1157
310,novembro 2016,1.13 Milho (1 Safra),Parana,423695,,3406860,8041
311,novembro 2016,1.14 Milho (2 Safra),Parana,2198799,,10517283,4783
312,novembro 2016,1.15 Soja,Parana,5444891,,16969660,3117
313,novembro 2016,1.17 Trigo,Parana,1084294,,3383850,3121
314,novembro 2016,15 Fumo,Parana,73715,,148992,2021
315,dezembro 2016,1.4 Arroz,Parana,26107,,117472,4500
316,dezembro 2016,1.8 Feijao (1 Safra),Parana,184854,,294005,1590
317,dezembro 2016,1.9 Feijao (2 Safra),Parana,204177,,303909,1488
318,dezembro 2016,1.10 Feijao (3 Safra),Parana,4663,,2194,471
319,dezembro 2016,1.13 Milho (1 Safra),Parana,413440,,3303508,7990
320,dezembro 2016,1.14 Milho (2 Safra),Parana,2197893,,10420666,4741
321,dezembro 2016,1.15 Soja,Parana,5449462,,16824385,3087
322,dezembro 2016,1.17 Trigo,Parana,1084294,,3383850,3121
323,dezembro 2016,15 Fumo,Parana,73696,,147991,2008
324,janeiro 2017,1.4 Arroz,Parana,25848,,161921,6264
325,janeiro 2017,1.8 Feijao (1 Safra),Parana,197931,,350139,1769
326,janeiro 2017,1.9 Feijao (2 Safra),Parana,218378,,405511,1857
327,janeiro 2017,1.10 Feijao (3 Safra),Parana,4913,,5262,1071
328,janeiro 2017,1.13 Milho (1 Safra),Parana,500587,,4400229,8790
329,janeiro 2017,1.14 Milho (2 Safra),Parana,2301622,,13479636,5857
330,janeiro 2017,1.15 Soja,Parana,5349774,,18524206,3463
331,janeiro 2017,1.17 Trigo,Parana,1084294,,2880969,2657
332,janeiro 2017,15 Fumo,Parana,78911,,186121,2359
333,fevereiro 2017,1.4 Arroz,Parana,25076,,161636,6446
334,fevereiro 2017,1.8 Feijao (1 Safra),Parana,197981,,361644,1827
335,fevereiro 2017,1.9 Feijao (2 Safra),Parana,221478,,407771,1841
336,fevereiro 2017,1.10 Feijao (3 Safra),Parana,4913,,5262,1071
337,fevereiro 2017,1.13 Milho (1 Safra),Parana,500587,,4434675,8859
