Country,Region,Year,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom,Generosity,Perceptions of corruption,Decade,Regional Happiness Ratio,Region_Australia and New Zealand,Region_Central and Eastern Europe,Region_Eastern Asia,Region_Latin America and Caribbean,Region_Middle East and Northern Africa,Region_North America,Region_Southeastern Asia,Region_Southern Asia,Region_Sub-Saharan Africa,Region_Western Europe,Region_nan
Senegal,Western Europe,2019,111,4.681,0.2146946564885496,0.6897810218978102,0.5004382120946538,0.4033149171270718,0.18256119155357015,0.13045605261727455,2010,0.8657142145826886,False,False,False,False,False,False,False,False,False,True,False
Somalia,Western Europe,2019,112,4.668,0.0,0.4245742092457421,0.2348816827344435,0.7720994475138122,0.2899501277615526,0.4892101973147796,2010,0.8633099666037151,False,False,False,False,False,False,False,False,False,True,False
Namibia,Western Europe,2019,113,4.639,0.41937022900763354,0.7986618004866181,0.41805433829973704,0.5538674033149171,0.08352472816176412,0.10146581870232466,2010,0.857946644189082,False,False,False,False,False,False,False,False,False,True,False
Niger,Western Europe,2019,114,4.628,0.06583969465648855,0.47080291970802923,0.32077125328659073,0.43922651933701656,0.22432355563445222,0.1848127412078056,2010,0.8559122805145659,False,False,False,False,False,False,False,False,False,True,False
Burkina Faso,Western Europe,2019,115,4.587,0.15791984732824427,0.6423357664233578,0.33304119193689746,0.35220994475138123,0.21119824120903213,0.20474352702433368,2010,0.8483296522731878,False,False,False,False,False,False,False,False,False,True,False
Armenia,Western Europe,2019,116,4.559,0.4055343511450381,0.6417274939172749,0.7142857142857142,0.39088397790055246,0.11335498821953702,0.1159609356597996,2010,0.8431512720107834,False,False,False,False,False,False,False,False,False,True,False
Iran,Western Europe,2019,117,4.548,0.5248091603053435,0.5121654501216545,0.6879929886064856,0.4212707182320442,0.32216680862394736,0.2264862024605461,2010,0.8411169083362674,False,False,False,False,False,False,False,False,False,True,False
Guinea,Western Europe,2019,118,4.534,0.18129770992366412,0.504257907542579,0.32865907099035935,0.45856353591160226,0.2469945532783596,0.1558225072928557,2010,0.8385277182050651,False,False,False,False,False,False,False,False,False,True,False
Georgia,Western Europe,2019,119,4.519,0.42270992366412213,0.40510948905109495,0.6590709903593339,0.47790055248618785,0.051308047299369386,0.2971498976282365,2010,0.8357535859216342,False,False,False,False,False,False,False,False,False,True,False
Gambia,Western Europe,2019,120,4.516,0.14694656488549618,0.5711678832116789,0.37510955302366344,0.5276243093922652,0.3209735982216364,0.3025855664872896,2010,0.835198759464948,False,False,False,False,False,False,False,False,False,True,False
